Ticker,Sector,Price,Score,Mom63,RVOL,RangePos63,AboveMA50,Piotroski,Quality,ROIC,OE_Yield,ShortPctFloat,DaysToCover,SuggestedStop
ATAI,Healthcare,7.39,0.982,0.927,2.32,0.98,True,2.0,weak,-2.828919290653677,-0.2481218912566335,0.0536,0.9,6.8
SMTI,Healthcare,35.05,0.958,0.579,1.57,1.0,True,2.0,weak,0.13327634954096437,-0.11882272623209059,0.0395,0.6,32.25
VREX,Healthcare,18.49,0.885,0.797,0.87,0.98,True,4.0,ok,-0.02700593395252838,-0.08468908409648634,0.041,1.4,17.01
AYA,Basic Materials,28.91,0.846,0.595,1.46,0.91,True,6.0,strong,0.16960667197711005,-0.007296624192000094,,10.2,26.6
VSTM,Healthcare,8.08,0.823,0.967,1.34,0.91,True,3.0,weak,5.340831710799585,-0.2984164417891984,0.21,8.9,7.43
FTH,Healthcare,40.05,0.822,1.521,1.3,0.96,True,2.0,weak,-1.6660192326955825,-0.02069412204007516,0.0325,2.7,36.85
ATRC,Healthcare,51.52,0.817,0.796,1.24,0.93,True,4.0,ok,-0.008353630398464085,-0.002183278278180297,0.0803,4.5,47.4
LBRX,Healthcare,49.34,0.816,0.607,0.88,0.96,True,2.0,weak,-0.43419367667528336,-0.015650726792236676,0.1881,13.7,45.39
SOPH,Healthcare,8.36,0.816,0.591,1.33,0.85,True,1.0,weak,-1.3648806083289904,-0.1097280379128371,0.0116,2.3,7.69
JHX,Basic Materials,30.39,0.816,0.321,1.11,0.9,True,3.0,weak,0.02820600228347741,0.011970415083699745,0.0206,1.6,27.96
HNGE,Healthcare,92.37,0.803,0.472,0.9,0.91,True,3.0,weak,-2.4755707542570704,-0.0707517003596598,0.0912,3.3,84.98
IQV,Healthcare,267.77,0.802,0.422,0.96,0.96,True,3.0,weak,0.09338632426373178,0.044555421773350826,0.03,3.0,246.35
CRBP,Healthcare,11.08,0.798,0.443,1.44,0.87,True,1.0,weak,-0.5213318936904991,-0.38215216135592395,0.1271,7.2,10.19
MMSI,Healthcare,87.38,0.797,0.373,0.95,0.82,True,4.0,ok,0.07798180176161668,0.034173860471739,0.0782,3.2,80.39
PBF,Energy,74.34,0.794,0.729,0.97,0.91,True,2.0,weak,-0.0025698482324005125,-0.02207674607479191,0.123,3.3,68.39
CDNA,Healthcare,50.88,0.794,1.283,0.87,0.91,True,3.0,weak,-0.076782671060283,-0.0028915581979638413,0.114,4.5,46.81
FET,Energy,80.29,0.793,0.56,1.06,0.83,True,4.0,ok,0.05392600633728436,0.01973347307659235,0.0729,3.6,73.87
AMGN,Healthcare,437.23,0.793,0.251,1.08,0.91,True,5.0,ok,0.16558551315037165,0.05184411249192691,0.0223,4.6,402.25
BTG,Basic Materials,5.61,0.785,0.33,1.41,0.88,True,4.0,ok,0.18060422035516208,,,3.3,5.16
PLSE,Healthcare,48.79,0.785,1.026,1.94,0.79,True,1.0,weak,-10.335284815507567,-0.020703597494343817,0.1297,6.7,44.89
DK,Energy,71.86,0.782,0.539,1.47,0.85,True,3.0,weak,0.08219851049424509,-0.03604234567280518,0.1135,4.7,66.11
LNG,Energy,292.0,0.78,0.235,1.52,0.91,True,5.0,ok,0.17010054354165208,0.06281623598204034,0.0215,2.6,268.64
NRIX,Healthcare,26.13,0.78,0.648,0.85,0.85,True,2.0,weak,-0.6362379336009744,-0.09573034440671732,0.1752,17.2,24.04
RVTY,Healthcare,130.22,0.779,0.284,1.27,0.92,True,4.0,ok,0.028713947992927515,0.04040922645536226,0.0862,4.3,119.8
MMED,Healthcare,23.32,0.778,0.362,2.52,0.9,True,2.0,weak,-0.03460330578512397,-0.06096557452513768,0.2066,5.1,21.45
