Ticker,Sector,Price,StormScore,Shakeout,Ret5,RangePos,RSI,Resid21,PeerCatchup,LowerBB,Range21,VolRatio,AboveMA50,Piotroski,Quality,ShortPctFloat,SuggestedStop,Regime
ERII,Industrials,7.27,0.856,5.0,-0.04967319965362549,0.0075187901966273785,24.390235900878906,0.0052757710218429565,0.054948970675468445,-0.17661888897418976,0.15724143385887146,0.6157097220420837,False,5,ok,0.0747,6.69,reversal
DHI,Consumer Cyclical,135.57,0.854,5.0,-0.061214566230773926,0.04642545431852341,27.889266967773438,0.00632254034280777,0.0675371065735817,-0.13293473422527313,0.15327149629592896,0.751785933971405,False,3,weak,0.0475,124.72,reversal
SLGN,Consumer Cyclical,38.57,0.852,5.0,-0.07082629203796387,0.09277156740427017,21.00354766845703,0.02979818731546402,0.10062447935342789,-0.15036194026470184,0.15265434980392456,0.6919329762458801,False,4,ok,0.1091,35.48,reversal
GRBK,Consumer Cyclical,67.5,0.851,5.0,-0.046340763568878174,0.041564811021089554,27.67676544189453,0.03938744217157364,0.08572820574045181,-0.017552772536873817,0.11822810024023056,0.5166294574737549,False,3,weak,0.0002,62.1,reversal
AAT,Real Estate,21.38,0.847,5.0,-0.03519856929779053,0.0,20.568649291992188,0.0024311766028404236,0.03762974590063095,0.04029874876141548,0.0668148323893547,0.4406031370162964,False,5,ok,0.0617,19.67,reversal
SUI,Real Estate,114.93,0.839,5.0,-0.04105132818222046,0.02366860955953598,28.049575805664062,0.011315785348415375,0.052367113530635834,-0.06883858144283295,0.10287061333656311,0.4424559473991394,False,4,ok,0.0662,105.74,reversal
CSV,Consumer Cyclical,32.19,0.833,5.0,-0.04932081699371338,0.01976434513926506,25.54107666015625,0.032091058790683746,0.08141187578439713,-0.4504656195640564,0.14343750476837158,0.5587913393974304,False,6,strong,0.0432,29.61,reversal
NAMS,Healthcare,21.86,0.831,3.0,-0.15435200929641724,0.00385365285910666,18.13361358642578,-0.19684965908527374,0.0,0.21890147030353546,0.31926611065864563,1.1929233074188232,False,3,weak,0.1311,20.11,reversal
CHDN,Consumer Cyclical,82.75,0.826,4.0,-0.08340716361999512,0.2166881412267685,28.079994201660156,0.011326052248477936,0.09473321586847305,-0.19648607075214386,0.15711145102977753,1.0616979598999023,False,4,ok,0.0632,76.13,reversal
ROL,Consumer Cyclical,34.56,0.826,5.0,-0.0322037935256958,0.016279542818665504,27.360336303710938,0.02294544130563736,0.05514923483133316,-0.17045943439006805,0.09839887171983719,0.5842796564102173,False,4,ok,0.0521,31.8,reversal
MLTX,Healthcare,13.18,0.826,4.0,-0.13232386112213135,0.0058997455053031445,14.364631652832031,-0.21738804876804352,0.0,0.1862775683403015,0.3513719141483307,0.770332396030426,False,1,weak,0.1157,12.13,reversal
SVC,Real Estate,6.87,0.82,3.0,-0.09724050760269165,0.004744616337120533,13.855422973632812,-0.14972737431526184,0.0,0.2579604983329773,0.24489793181419373,0.8998904228210449,False,5,ok,0.0394,6.32,reversal
